iter	Logloss	Accuracy
515	0.05073625489	0.9844745375
516	0.05067082181	0.9845126836
517	0.05043170048	0.9845889758
518	0.05033028619	0.9847415602
519	0.05022411631	0.9847034141
520	0.05017088885	0.984665268
521	0.05010220454	0.9847415602
522	0.05001975248	0.9849704368
523	0.04988602158	0.9851611673
524	0.04977359353	0.9851993134
525	0.04963175285	0.9852756056
526	0.04948904036	0.9851993134
527	0.04937363141	0.9851611673
528	0.04904911021	0.9853137517
529	0.04882894329	0.9854663361
530	0.04873080403	0.9855044822
531	0.04873077746	0.9855044822
532	0.04873065743	0.9855044822
533	0.0485386029	0.98542819
534	0.0484628704	0.98542819
535	0.04828237506	0.9855426283
536	0.0482300404	0.9855426283
537	0.04819802466	0.9855426283
538	0.04810819846	0.9856570666
539	0.04801257386	0.9856952127
540	0.04801013508	0.9856952127
541	0.04795013076	0.9857333588
542	0.04794634668	0.9857333588
543	0.04760137389	0.9856952127
544	0.04757144493	0.9856570666
545	0.04738286966	0.985809651
546	0.04728445903	0.9859240893
547	0.04727531493	0.9858859432
548	0.04727528795	0.9858859432
549	0.04722637669	0.9859622354
550	0.04722333376	0.9859622354
551	0.04708016898	0.9860766737
552	0.04708009173	0.9860766737
553	0.0469885574	0.9861529659
554	0.04689658642	0.9862292581
555	0.04681144441	0.9862292581
556	0.04676292424	0.9862292581
557	0.04665967282	0.9861148198
558	0.04652044681	0.9861529659
559	0.04652044588	0.9861529659
560	0.04647939961	0.9862674042
561	0.04647939282	0.9862674042
562	0.04638031826	0.9861529659
563	0.04633252106	0.9862674042
564	0.04628887104	0.9862674042
565	0.04616408695	0.9864199886
566	0.04613476075	0.9864581347
567	0.04613463648	0.9864581347
568	0.04613456978	0.9864581347
569	0.04613433253	0.9864581347
570	0.0460203934	0.9864581347
571	0.04590144201	0.9864199886
572	0.04590141974	0.9864199886
573	0.04588811611	0.9863818425
574	0.0458880797	0.9863818425
575	0.04581635603	0.9863818425
576	0.04577871828	0.9863436964
577	0.04570134301	0.9863436964
578	0.04548143368	0.9864581347
579	0.04548123702	0.9864581347
580	0.04531387684	0.9864962808
581	0.04531337478	0.9864962808
582	0.04527628322	0.986572573
583	0.04521961306	0.986572573
584	0.04521960896	0.986572573
585	0.0451567115	0.986572573
586	0.04515670026	0.986572573
587	0.0451566951	0.986572573
588	0.04492796373	0.9868014496
589	0.04480968147	0.98699218
590	0.04463390044	0.9870684722
591	0.04441790272	0.9871447644
592	0.04441777117	0.9871447644
593	0.04441775476	0.9871447644
594	0.04441756943	0.9871447644
595	0.044325621	0.9871829105
596	0.0443215194	0.9871447644
597	0.04420607467	0.9871066183
598	0.04420592851	0.9871066183
