iter	Passed	Remaining
898	104155	11701
899	104235	11581
900	104328	11463
901	104375	11340
902	104416	11216
903	104455	11092
904	104497	10969
905	104547	10847
906	104594	10724
907	104698	10608
908	104815	10493
909	104856	10370
910	104896	10247
911	104945	10126
912	105040	10009
913	105092	9888
914	105196	9772
915	105277	9654
916	105337	9534
917	105408	9415
918	105457	9294
919	105505	9174
920	105546	9053
921	105601	8933
922	105646	8813
923	105690	8693
924	105742	8573
925	105826	8456
926	105878	8337
927	106000	8224
928	106187	8115
929	106262	7998
930	106530	7895
931	106674	7783
932	106792	7668
933	106937	7556
934	107079	7444
935	107207	7330
936	107354	7218
937	107445	7101
938	107597	6989
939	107669	6872
940	107726	6754
941	107780	6636
942	107922	6523
943	108037	6408
944	108091	6291
945	108254	6179
946	108401	6066
947	108479	5950
948	108690	5841
949	108992	5736
950	109287	5630
951	109379	5514
952	109701	5410
953	110024	5305
954	110326	5198
955	110548	5088
956	110892	4982
957	111186	4874
958	111364	4761
959	111762	4656
960	112111	4549
961	112411	4440
962	112728	4331
963	113019	4220
964	113270	4108
965	113391	3991
966	113676	3879
967	113955	3767
968	114153	3651
969	114235	3533
970	114335	3414
971	114517	3298
972	114727	3183
973	114934	3068
974	115201	2953
975	115355	2836
976	115604	2721
977	115740	2603
978	115850	2485
979	116050	2368
980	116227	2251
981	116462	2134
982	116682	2017
983	116925	1901
984	117188	1784
985	117300	1665
986	117475	1547
987	117677	1429
988	117872	1311
989	118015	1192
990	118151	1073
991	118314	954
992	118480	835
993	118755	716
994	118949	597
995	119143	478
996	119245	358
997	119350	239
998	119505	119
999	119676	0
